author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Lynne Parker,Collective Manipulation and Construction.,,2015,1395-1406,https://doi.org/10.1007/978-3-662-43505-2_72,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#Parker15,,,,,reference/sp/2015ci,,,,
"Oscar Montiel Ross, Roberto Sepúlveda Cruz",Evolving Embedded Fuzzy Controllers.,,2015,1451-1477,https://doi.org/10.1007/978-3-662-43505-2_76,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#RossC15,,,,,reference/sp/2015ci,,,,
"Ravi Jhawar, Vincenzo Piuri",Dependability-Oriented Resource Management Schemes for Cloud Computing Data Centers.,,2015,1285-1305,https://doi.org/10.1007/978-1-4939-2092-1_45,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#JhawarP15,,,,,reference/sp/2015dc,,,,
"Francesca Pratesi, Anna Monreale, Dino Pedreschi",Privacy by Design for Mobility Data Analytics.,,2018,253-277,https://doi.org/10.1007/978-3-319-98161-1_10,,Handbook of Mobile Data Privacy,,,,,,db/reference/sp/mdp2018.html#PratesiMP18,,,,,reference/sp/2018mdp,,,,
"Robert Birke, Lydia Y. Chen, Evgenia Smirni",Usage Patterns in Multi-tenant Data Centers: a Large-Case Field Study.,,2015,1257-1266,https://doi.org/10.1007/978-1-4939-2092-1_43,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#BirkeCS15,,,,,reference/sp/2015dc,,,,
"Antonio Sanfilippo, Roderick M. Riensche, Jereme Haack, Scott Butner",Psychosocial and Cultural Modeling in Human Computation Systems: A Gamification Approach.,,2013,803-815,"https://doi.org/10.1007/978-1-4614-8806-4_65, https://www.wikidata.org/entity/Q61919650",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#SanfilippoRHB13,,,,,reference/sp/2013hc,,,,
"Masahiro Inuiguchi, Wei-Zhi Wu, Chris Cornelis, Nele Verbiest",Fuzzy-Rough Hybridization.,,2015,425-451,https://doi.org/10.1007/978-3-662-43505-2_26,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#InuiguchiWCV15,,,,,reference/sp/2015ci,,,,
"Julie Digne, Mariella Dimiccoli, Neus Sabater, Philippe Salembier",Neighborhood Filters and the Recovery of 3D Information.,,2015,1645-1673,https://doi.org/10.1007/978-1-4939-0790-8_27,,Handbook of Mathematical Methods in Imaging,,,,,,db/reference/sp/mmi2015.html#DigneDSS15,,,,,reference/sp/2015mmi,,,,
"Carole R. Beal, Clayton T. Morrison, Juan C. Villegas",Human Computation as an Educational Opportunity.,,2013,163-170,"https://doi.org/10.1007/978-1-4614-8806-4_15, https://www.wikidata.org/entity/Q105641805",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#BealMV13,,,,,reference/sp/2013hc,,,,
"Jingtao Yao 0001, Davide Ciucci, Yan Zhang 0030",Generalized Rough Sets.,,2015,413-424,https://doi.org/10.1007/978-3-662-43505-2_25,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#YaoCZ15,,,,,reference/sp/2015ci,,,,
Franz Rothlauf,Design of Representations and Search Operators.,,2015,1061-1083,"https://doi.org/10.1007/978-3-662-43505-2_53, https://www.wikidata.org/entity/Q58205389",,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#Rothlauf15,,,,,reference/sp/2015ci,,,,
"Theodore P. Pavlic, Stephen C. Pratt",Superorganismic Behavior via Human Computation.,,2013,911-960,"https://doi.org/10.1007/978-1-4614-8806-4_74, https://www.wikidata.org/entity/Q105641878",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#PavlicP13,,,,,reference/sp/2013hc,,,,
"Carlos Pedrinaci, John Domingue, Amit P. Sheth",Semantic Web Services.,,2011,977-1035,https://doi.org/10.1007/978-3-540-92913-0_22,,Handbook of Semantic Web Technologies,,,,,,db/reference/sp/semweb2011.html#PedrinaciDS11,,,,,reference/sp/2011semweb,,,,
