author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Tatu Ylönen,Shadow Paging Is Feasible.,"Helsinki University of Technology, Department of Computer Science",1994,,,,,,,,,,,,,,,,,,,
Peter Van Roy,A Prolog Compiler for the PLM.,University of California at Berkeley,1984,,,,,,,,,,,,,,,,,,,
Salim Perchy,Multimedia Interaction with NTCC. (Interacción Multimedia con NTCCInteraction Multimédia avec NTCC).,"Pontifical Xavierian University, Bogotá, Colombia",2013,,https://tel.archives-ouvertes.fr/tel-01257184,,,,,,,,,,,,,,,,,
Christian Schulte 0001,Entwurf und Implementierung eines übersetzenden Systems für das intuitionistische logische Programmieren auf der Warren Abstract Machine.,"Universität Karlsruhe, Institut für Logik, Komplexität und Deduktionssysteme",1991,,,,,,,,,,,,,,,,,,,
Satyan R. Coorg,Partitioning non-strict languages for multi-threaded code generation.,"Massachusetts Institute of Technology, Cambridge, USA",1994,,http://hdl.handle.net/1721.1/32607,,,,,,,,,,,,ndltd.org (oai:dspace.mit.edu:1721.1/32607),,,,,
Rodrigo Pastl Pontes,Contribuições do model checking e da metodologia CoFi para o software embarcado espacial.,"Instituto Tecnológico de Aeronáutica, São José dos Campos, São Paulo, Brazil",2011,,"http://www.bd.bibl.ita.br/tde_busca/arquivo.php?codArquivo=1138, http://search.ndltd.org/show.php?id=oai:union.ndltd.org:IBICT/oai:agregador.ibict.br.BDTD_ITA:oai:ita.br:1138",,,,,,,,,,,,ndltd.org (oai:agregador.ibict.br.BDTD_ITA:oai:ita.br:1138),,,,,
Salma Hosni Emam Mohamed Elmalaki,Context-Aware Runtime Engine For Android Operating System.,"University of California, Los Angeles, USA",2014,,"http://www.escholarship.org/uc/item/2f74g5mw, http://n2t.net/ark:/13030/m5p57w6d, https://www.base-search.net/Record/54d9a40cafc81fb89093ac17e2a9a5b0392f205c196faccfcbbb14ffb9d5d088",,,,,,,,,,,,base-search.net (ftcdlib:qt2f74g5mw),,,,,
Vanessa C. Klaas,Who's Who in the World Wide Web: Approaches to Name Disambiguation,"Diplomarbeit, LMU München, Informatik",2007,,http://www.pms.ifi.lmu.de/publikationen/diplomarbeiten/Vanessa.Klaas/thesis.pdf,,,,,,,,,,,,,,,,,
Kurt P. Brown,"PRPL: A Database Workload Specification Language, v1.3.",University of Wisconsin-Madison,1992,,,,,,,,,,,,,,,,,,,
Rita Ley,Der Einfluss kleiner naturnaher Retentionsmaßnahmen in der Fläche auf den Hochwasserabfluss - Kleinrückhaltebecken -.,"Diplomarbeit, Universität Trier, FB VI, Physische Geographie",2006,,http://dblp.uni-trier.de/papers/DiplomarbeitRitaLey.pdf,,,,,,,,,,,,,,,,,
Oliver Hoffmann 0002,Regelbasierte Extraktion und asymmetrische Fusion bibliographischer Informationen.,University of Trier,2009,,http://dblp.uni-trier.de/papers/DiplomarbeitOliverHoffmann.pdf,,,,,,,,,,,,"Diplomarbeit, Universität Trier, FB IV, DBIS/DBLP",,,,,
Tolga Yurek,Efficient View Maintenance at Data Warehouses.,"University of California at Santa Barbara, Department of Computer Science, CA, USA",1997,,,,,,,,,,,,,,,,,,,
Stephan Vollmer,Portierung des DBLP-Systems auf ein relationales Datenbanksystem und Evaluation der Performance.,"Diplomarbeit, Universität Trier, FB IV, Informatik",2006,,http://dbis.uni-trier.de/Diplomanden/Vollmer/vollmer.shtml,,,,,,,,,,,,,,,,,
