author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Russell Turpin,Programming Data Structures in Logic.,"University of Texas, Austin",1992,,,,,,,,,,,,,,,,,,,
Frank Olken,Random Sampling from Databases,University of California at Berkeley,1993,,,LBL Technical Report,,,,,LBL-32883,,,,,,,,,,,
Guido Frisch,Using open source software to develop E-business applications for medium- and small-sized enterprises.,"Bratislava, Univ.",2009,1-151,https://d-nb.info/996716548,,,,,,,,,,,,,,978-3-8300-4753-7,,,
Alessia Amelio,Pattern extraction from data with application to image processing.,"University of Calabria, Italy",2012,,https://doi.org/10.13126/UNICAL.IT/DOTTORATI/1171,,,,,,,,,,,,,,,,,
Razvan Andrei Popescu,Aggregation and adaptation of web services: a semi-automated methodology for the aggregation and adaption of web services.,University of Pisa,2008,1-206,https://d-nb.info/991165179,,,,,,,,,,,,,,978-3-8364-6280-8,,,
Giulio Ermanno Pibiri,Space and Time-Efficient Data Structures for Massive Datasets.,University of Pisa,2018,,"http://pages.di.unipi.it/pibiri/papers/phd_thesis.pdf, http://pages.di.unipi.it/pibiri/slides/final_PhD_presentation2.pdf",,,,,,,,,,,,,,,,,
Giacomo Bergami,A new Nested Graph Model for Data Integration,"University of Bologna, Italy",2018,,"https://doi.org/10.6092/unibo/amsdottorato/8348, http://amsdottorato.unibo.it/8348/",,,,,,,,,,,,,,,,,
Antonio Gullì,Clustering and ranking for web information retrieval: methodologies for searching the web.,University of Pisa,2008,1-137,https://d-nb.info/987753223,,,,,,,,,,,,,,978-3-8364-5657-9,,,
Davide Chicco,Computational Prediction of Gene Functions through Machine Learning methods and Multiple Validation Procedures,"Polytechnic University of Milan, Italy",2014,,http://hdl.handle.net/10589/88161,,,,,,,,,,,,,,,,,
Daniel F. Lieuwen,Optimizing and Parallelizing Loops in Object-Oriented Database Programming Languages.,Univ. of Wisconsin-Madison,1992,,,,,,,,,,,,,,,,,,,
Herman Hartmann,Software product line engineering for consumer electronics: Keeping up with the speed of innovation.,University of Groningen,2015,,http://www.rug.nl/research/portal/publications/software-product-line-engineering-for-consumer-electronics%286aa1ffab-abf6-4d3e-97cb-1e23daed93c5%29.html,,,,,,,,,,,,,,978-90-367-7991-3,,,
Kenneth Rohde Christiansen,Grid-enabling a software product: integration of grid resources in the RCE environment.,"Groningen, Univ.",2008,1-135,https://d-nb.info/991212878,,,,,,,,,,,,,,978-3-8364-7586-0,,,
Marcel Kyas,Verifying OCL specifications of UML models: tool support and compositionakity.,Leiden University,2006,1-199,https://d-nb.info/97879219X,,,,,,,,,,,,,,3-86541-142-8,,,
Sebastian Denef,A Pattern Language of Firefighting Frontline Practice to Inform the Design of Ubiquitous Computing.,Delft University of Technology,2011,1-294,"https://nbn-resolving.org/urn:nbn:de:101:1-201503299440, https://d-nb.info/1017523460, https://d-nb.info/1069050598",,,,,,,,,,,,,,978-3-8440-0533-2,,,
Alexander Bucksch,Revealing the skeleton from imperfect point clouds.,Delft University of Technology,2011,1-141,"http://www.dr.hut-verlag.de/978-3-86853-877-9.html, https://nbn-resolving.org/urn:nbn:de:101:1-201105031558, https://d-nb.info/1011442027",,,,,,,,,,,,,,978-3-86853-877-9,,,
Lacramioara Astefanoaei,An executable theory of multi-agent systems refinement,Leiden University,2011,,https://openaccess.leidenuniv.nl/handle/1887/16343,,,,,,,,,,,,,,,,,
Maurice H. ter Beek,Team Automata: A Formal Approach to the Modeling of Collaboration Between System Components.,Leiden University,2003,,https://openaccess.leidenuniv.nl/handle/1887/29570,,,,,,,,,,,,,,,,,
