author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
"Hai He, Weiyi Meng, Yiyao Lu, Clement T. Yu, Zonghuan Wu",Towards Deeper Understanding of the Search Interfaces of the Deep Web.,,2007,133-155,https://doi.org/10.1007/s11280-006-0010-9,,,,World Wide Web,,2,,db/journals/www/www10.html#HeMLYW07,,,,,,,,,
"Srinivas Vadrevu, Fatih Gelgi, Hasan Davulcu",Information Extraction from Web Pages Using Presentation Regularities and Domain Knowledge.,,2007,157-179,https://doi.org/10.1007/s11280-007-0021-1,,,,World Wide Web,,2,,db/journals/www/www10.html#VadrevuGD07,,,,,,,,,
"Daniel A. Menascé, Vasudeva Akula",Improving the Performance of Online Auctions Through Server-side Activity-based Caching.,,2007,181-204,https://doi.org/10.1007/s11280-006-0011-8,,,,World Wide Web,,2,,db/journals/www/www10.html#MenasceA07,,,,,,,,,
"Kotagiri Ramamohanarao, Hongjian Fan",Patterns Based Classifiers.,,2007,71-83,https://doi.org/10.1007/s11280-006-0012-7,,,,World Wide Web,,1,,db/journals/www/www10.html#RamamohanaraoF07,,,,,,,,,
"Yanhong Zhai, Bing Liu 0001",Extracting Web Data Using Instance-Based Learning.,,2007,113-132,"https://doi.org/10.1007/s11280-007-0022-0, https://www.wikidata.org/entity/Q107903351",,,,World Wide Web,,2,,db/journals/www/www10.html#ZhaiL07,,,,,,,,,
"Anne H. H. Ngu, Masaru Kitsuregawa, Erich J. Neuhold",Editorial.,,2007,111-112,https://doi.org/10.1007/s11280-007-0023-z,,,,World Wide Web,,2,,db/journals/www/www10.html#NguKN07,,,,,,,,,
Morgan Ericsson,The Effects of XML Compression on SOAP Performance.,,2007,279-307,https://doi.org/10.1007/s11280-007-0032-y,,,,World Wide Web,,3,,db/journals/www/www10.html#Ericsson07,,,,,,,,,
"David L. Martin 0001, Mark H. Burstein, Drew V. McDermott, Sheila A. McIlraith, Massimo Paolucci 0001, Katia P. Sycara, Deborah L. McGuinness, Evren Sirin, Naveen Srinivasan",Bringing Semantics to Web Services with OWL-S.,,2007,243-277,https://doi.org/10.1007/s11280-007-0033-x,,,,World Wide Web,,3,,db/journals/www/www10.html#MartinBMMPSMSS07,,,,,,,,,
"Anis Charfi, Mira Mezini",AO4BPEL: An Aspect-oriented Extension to BPEL.,,2007,309-344,https://doi.org/10.1007/s11280-006-0016-3,,,,World Wide Web,,3,,db/journals/www/www10.html#CharfiM07,,,,,,,,,
"María Agustina Cibrán, Bart Verheecke, Wim Vanderperren, Davy Suvée, Viviane Jonckers","Aspect-oriented Programming for Dynamic Web Service Selection, Integration and Management.",,2007,211-242,https://doi.org/10.1007/s11280-006-0017-2,,,,World Wide Web,,3,,db/journals/www/www10.html#CibranVVSJ07,,,,,,,,,
"Dimitrios Georgakopoulos, Donald Baker, Marian H. Nodine, Andrzej Cichocki",Event-driven Video Awareness Providing Physical Security.,,2007,85-109,https://doi.org/10.1007/s11280-006-0015-4,,,,World Wide Web,,1,,db/journals/www/www10.html#GeorgakopoulosBNC07,,,,,,,,,
"Istvan Beszteri, Petri Vuorimaa",Vertical Navigation of Layout Adapted Web Documents.,,2007,Jan-35,https://doi.org/10.1007/s11280-006-0008-3,,,,World Wide Web,,1,,db/journals/www/www10.html#BeszteriV07,,,,,,,,,
"Jean-Philippe Martin-Flatin, Welf Löwe",Special Issue on Recent Advances in Web Services.,,2007,205-209,https://doi.org/10.1007/s11280-007-0035-8,,,,World Wide Web,,3,,db/journals/www/www10.html#Martin-FlatinL07,,,,,,,,,
"Lipyeow Lim, Min Wang 0001, Sriram Padmanabhan, Jeffrey Scott Vitter, Ramesh C. Agarwal",Efficient Update of Indexes for Dynamically Changing Web Documents.,,2007,37-69,https://doi.org/10.1007/s11280-006-0009-2,,,,World Wide Web,,1,,db/journals/www/www10.html#LimWPVA07,,,,,,,,,
"Mohammad Arif Ul Alam, Nilavra Pathak, Nirmalya Roy",Mobeacon: An iBeacon-Assisted Smartphone-Based Real Time Activity Recognition Framework.,,2015,e2,https://doi.org/10.4108/eai.22-7-2015.2260073,,,,EAI Endorsed Trans. Ubiquitous Environ.,2,7,,db/journals/ue/ue2.html#AlamPR15,,,,,,,,,
Emilio Coppa,An interactive visualization framework for performance analysis.,,2015,e5,https://doi.org/10.4108/icst.valuetools.2014.258172,,,,EAI Endorsed Trans. Ubiquitous Environ.,2,7,,db/journals/ue/ue2.html#Coppa14,,,,,,,,,
"Shaik Sahil Babu, Arnab Raha, Omar Alfandi, Dieter Hogrefe, Mrinal Kanti Naskar",Trust integrated node potential aware routing for WSNs.,,2014,103-124,https://doi.org/10.1504/IJTMCC.2014.064142,,,,Int. J. Trust. Manag. Comput. Commun.,2,2,,db/journals/ijtmcc/ijtmcc2.html#BabuRAHN14,,,,,,,,,
"Anant V. Nimkar, Soumya K. Ghosh 0001",An access control model for cloud-based EMR federation.,,2014,330-352,https://doi.org/10.1504/IJTMCC.2014.067369,,,,Int. J. Trust. Manag. Comput. Commun.,2,4,,db/journals/ijtmcc/ijtmcc2.html#NimkarG14,,,,,,,,,
"Jeril Kuriakose, Sandeep Joshi",Secured MPR node selection in the presence of cheating nodes.,,2016,246-268,https://doi.org/10.1504/IJTMCC.2016.10002828,,,,Int. J. Trust. Manag. Comput. Commun.,3,3,,db/journals/ijtmcc/ijtmcc3.html#KuriakoseJ16,,,,,,,,,
"Sabrina Nusrat, Julita Vassileva",Simulating a trust-based service recommender system for decentralised user modelling environment.,,2013,121-139,https://doi.org/10.1504/IJTMCC.2013.053262,,,,Int. J. Trust. Manag. Comput. Commun.,1,2,,db/journals/ijtmcc/ijtmcc1.html#NusratV13,,,,,,,,,
"Ashok Kumar Das, Santanu Chatterjee, Jamuna Kanta Sing",Formal security analysis and verification of a password-based user authentication scheme for hierarchical wireless sensor networks.,,2014,78-102,https://doi.org/10.1504/IJTMCC.2014.063273,,,,Int. J. Trust. Manag. Comput. Commun.,2,1,,db/journals/ijtmcc/ijtmcc2.html#DasCS14,,,,,,,,,
