author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Michael A. Curth,Planspieltechnik und Computer-based-Training zur Schulung von Einkäufern im Handel.,,1989,1-370,https://d-nb.info/891654135,"Eul, Germany",,,,,,,,,,,,,978-3-89012-177-2,,,
Eberhard E. Wedekind,Informationsmanagement in der Organisationsplanung.,,1988,1-240,https://d-nb.info/880936800,Dt. Univ.-Verlag,,,,,,,,,,,,,978-3-8244-0003-4,,,
Peter F. Tropschuh,Rechnerunterstützung für das Projektieren mit Hilfe eines wissensbasierten Systems.,,1989,1-141,https://d-nb.info/890277257,Hanser,,,,,,,,,,,,,978-3-446-15577-0,,,
Jan Sbresny,Fehlerquellen in raumbezogenen Informationssystemen: Quantifizierung und Minimierung am Beispiel des niedersächsischen Informationssystems ; mit 7 Tabellen.,,1997,1-132,https://d-nb.info/953963667,Schweizerbart,,,,,,,,,,,,,,,,
Detlef F. Pape,"Logistikgerechte PPS-Systeme: Konzeption, Aufbau, Umsetzung.",,1990,1-185,https://d-nb.info/900307455,Verlag TÜV Rheinland,,,,,,,,,,,,,978-3-88585-788-4,,,
Veronika Schaeffler,Wissensbasierte Planung einer Krankenhausverpflegung dargestellt am Beispiel der Diätverpflegung für Diabetiker.,"Technical University Munich, Germany",1995,1-167,https://d-nb.info/944429890,GSF-Forschungszentrum für Umwelt und Gesundheit,,,,,,,,,,,,,,,,
Uwe Dräger,Ansätze zur Unterstützung der oberen Führungsebene durch wissensbasierte Planungs- und Kontrollsysteme.,,1995,1-143,https://d-nb.info/943539935,Shaker,,,,,,,,,,,,,978-3-8265-5058-4,,,
Helmut Degen,Kundenorientierte Softwareproduktion.,"Free University of Berlin, Dahlem, Germany",1999,1-454,https://d-nb.info/95720602X,Dt. Univ.-Verlag,,,,,,,,,,,,,978-3-8244-0474-2,,,
Gerhard Rigoll,Algorithmen der Sprachverarbeitung zur Entwicklung eines vollsynthetischen Sprachausgabesystems.,"University of Duisburg-Essen, Germany",1991,1-321,https://d-nb.info/910924112,Springer,,,,,,,,,,,,,978-3-540-53870-7,,,
Christian Bierwirth,Flowshop Scheduling mit parallelen genetischen Algorithmen: eine problemorientierte Analyse genetischer Suchstrategien.,,1993,1-233,https://d-nb.info/931740096,Dt. Univ.-Verlag,,,,,,,,,,,,,978-3-8244-2051-3,,,
Kamill Panitzek,Mobile Service Provision in Harsh Environments.,"TU Darmstadt, Germany",2016,,"https://www.grin.com/document/342295, https://nbn-resolving.org/urn:nbn:de:101:1-201611101616, https://nbn-resolving.org/urn:nbn:de:101:1-2019061104403644226701, https://d-nb.info/1118727479, https://d-nb.info/1188243519",GRIN Verlag,,,,,,,,,,,,,,,,
Joachim Weickert,Anisotropic diffusion in image processing.,,1998,1-170,https://d-nb.info/952577437,Teubner,,,,,,,,,,,,,978-3-519-02606-8,,,
